distribution,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue,dataset,rank_sse
gamma,0.005085236018109665,3801.2248111813487,3814.0150059691236,0.4865861847037793,0.019542710134476796,0.9858514487164382,Guizhou Province__factual,3.0
genextreme,0.005005138439410893,3799.6385368776,3812.428731665375,0.49399293010259393,0.01732230684132463,0.9967793251819576,Guizhou Province__factual,1.0
logistic,0.006204600690782264,3826.53858488366,3835.065381408843,0.609004631902932,0.03617203550649867,0.48686882087107763,Guizhou Province__factual,6.0
lognorm,0.00504195220802425,3800.0392698687956,3812.8294646565705,0.48795155976460786,0.018179928598239747,0.9939008110962744,Guizhou Province__factual,2.0
norm,0.006321465711172655,3829.8427553415504,3838.3695518667337,0.5922613191181413,0.04868685567118819,0.16056971991163393,Guizhou Province__factual,7.0
pearson3,0.0050852408766889085,3801.2248111950726,3814.0150059828475,0.4865912053357597,0.019542350864352007,0.9858542495489413,Guizhou Province__factual,4.0
weibull_min,0.005173089722949703,inf,inf,0.4073229842889072,0.023142776628443662,0.93498367446975,Guizhou Province__factual,5.0
gamma,0.03299469674307817,2979.324667031856,2992.1148618196307,0.510660754157979,0.019246229989101193,0.988031578875485,Guizhou Province__counterfactual,1.0
genextreme,0.0333763490391561,2981.1015808594075,2993.8917756471824,0.5125208821051318,0.02319658061030916,0.9338518439699757,Guizhou Province__counterfactual,5.0
logistic,0.04009416326529657,3025.984312957526,3034.5111094827093,0.5394459909555551,0.042994758563656144,0.27826693619795884,Guizhou Province__counterfactual,6.0
lognorm,0.03327136318114616,2981.5362277507,2994.326422538475,0.5104966554455475,0.021564558998171446,0.9632170250709737,Guizhou Province__counterfactual,4.0
norm,0.04101238846175425,3019.401396617637,3027.9281931428204,0.572274695078548,0.053461834074797265,0.09591059066320318,Guizhou Province__counterfactual,7.0
pearson3,0.032994773549206886,2979.324667083906,2992.114861871681,0.5106505226708439,0.01924863983464964,0.9880148974456329,Guizhou Province__counterfactual,2.0
