Province,Return_period,RR_bootstrap_median,RR_lower_95,RR_upper_95,RIC_bootstrap_median,RIC_lower_95,RIC_upper_95
Guizhou Province,3.0,26260.1325918168,1201.8164000553854,1000000.0,152.04971096433854,142.9107766339898,161.5914466810845
Guizhou Province,3.04254656467847,28403.351484952473,1245.3780288125656,1000000.0,151.9065439549023,142.77275046383812,161.47217537636982
Guizhou Province,3.0856965327455863,30797.326596116327,1290.2938239545547,1000000.0,151.7709056196943,142.59868761953226,161.36533488125545
Guizhou Province,3.129458461781783,33369.32180984305,1336.602759760628,1000000.0,151.6620445252903,142.47420938485476,161.25121680957363
Guizhou Province,3.1738410307327114,36514.696552631794,1384.3449098824547,1000000.0,151.53011298972183,142.34257466114212,161.1389163068484
Guizhou Province,3.2188530416304615,40019.48377130869,1433.5614782840887,1000000.0,151.39300370861926,142.19555816254353,161.0278553732673
Guizhou Province,3.2645034213392017,43505.205276016015,1484.2948310619547,1000000.0,151.2271059958183,142.05029611144772,160.84499656899078
Guizhou Province,3.310801223325567,47360.753811028975,1536.5885291704808,1000000.0,151.08610085397748,141.90674754239518,160.7005860512252
Guizhou Province,3.3577556294541595,51549.4345081082,1590.4873620794467,1000000.0,150.97084393476143,141.7648729305729,160.60502606564066
Guizhou Province,3.405375951808516,56175.26929403421,1646.0373823900884,1000000.0,150.8300698873416,141.62463412481998,160.51929378939317
Guizhou Province,3.453671634537891,61507.58575981894,1703.8537432930766,1000000.0,150.73175818106859,141.48696862638906,160.4781195297912
Guizhou Province,3.502652255730246,67382.03063241049,1761.854643565635,1000000.0,150.60296275357342,141.3510939182875,160.40079835450751
Guizhou Province,3.552327529311785,73940.97831353528,1822.1753056776483,1000000.0,150.47469413425097,141.17694126809081,160.28840110476125
Guizhou Province,3.6027073069734423,81605.28337930821,1884.3104885657287,1000000.0,150.35166419636235,140.9948828697208,160.2039410601715
Guizhou Province,3.65380158012469,89964.17526055736,1948.3114287886158,1000000.0,150.21674845372513,140.86350892005424,160.05565288636882
Guizhou Province,3.7056204818750467,98851.27398722188,2014.2307843389658,1000000.0,150.0907722199447,140.75700227993482,159.9558316997543
Guizhou Province,3.7581742890437,107714.73443723658,2074.5510670575686,1000000.0,149.98842833114435,140.65309415786876,159.86572963203875
Guizhou Province,3.811473424197621,118078.09485038504,2134.4824277910247,1000000.0,149.87231509176058,140.551304014474,159.7762465919271
Guizhou Province,3.8655284577185847,129749.23743199684,2195.7830156665095,1000000.0,149.76172283099595,140.44941784470288,159.6873699884779
Guizhou Province,3.9203501098995153,142752.62756459342,2258.751483068052,1000000.0,149.64324149353837,140.31528239398156,159.5990876182401
Guizhou Province,3.9759492530705436,157079.37698544227,2323.308859794886,1000000.0,149.52539339155797,140.18978158786902,159.51138764949903
Guizhou Province,4.032336913755238,171748.91569062287,2389.3420528969395,1000000.0,149.39598277996916,140.06847473467909,159.42297432955743
Guizhou Province,4.089524274857395,187440.26528287423,2456.8788702711327,1000000.0,149.30092750994686,139.94711790523647,159.23224703871207
Guizhou Province,4.147522677878858,207332.06347818294,2525.9475669552835,1000000.0,149.1853445566819,139.83896958504292,159.04026653012164
Guizhou Province,4.206343625168789,230055.01283999698,2596.6560976454307,1000000.0,149.08191901421026,139.74199639750353,158.9352564468704
Guizhou Province,4.265998782204827,255520.77771998168,2668.977121149793,1000000.0,148.97892386566167,139.64850238845293,158.85205765447077
Guizhou Province,4.326499979906612,284094.1947459752,2743.933303919814,1000000.0,148.87247401491757,139.546735214523,158.76949278700522
Guizhou Province,4.387859216982109,316193.4310803482,2828.767904611995,1000000.0,148.77324323705687,139.38882705922853,158.6818511244221
Guizhou Province,4.450088662307227,348818.5485801905,2916.3675180551395,1000000.0,148.68206175980637,139.27841115830392,158.61002457119224
Guizhou Province,4.513200657339153,383595.15520054696,3012.417416118757,1000000.0,148.58624598988075,139.17727171502975,158.53167625114787
Guizhou Province,4.577207718563951,422133.51175261324,3111.4260178373515,1000000.0,148.4835323610866,139.0769919888593,158.45391077608585
Guizhou Province,4.642122539978843,467183.50178713107,3213.4833998874465,1000000.0,148.36290472642685,138.97755632250335,158.3757767692214
Guizhou Province,4.707957995609706,520593.4986952734,3318.682425526336,1000000.0,148.25616949713174,138.8789494908637,158.29786163077358
Guizhou Province,4.774727142064283,582006.476942684,3427.1188329031775,1000000.0,148.16181221701837,138.78115668525243,158.22051027744286
Guizhou Province,4.842443221121577,648636.1171143886,3538.8913262477954,1000000.0,148.08237790010375,138.64175683767954,158.1422306282428
Guizhou Province,4.911119662358001,718528.7321619987,3654.3839949029657,1000000.0,148.00583042629992,138.51397080229023,158.04348026295162
Guizhou Province,4.980770085810741,799595.9024588882,3773.8032620137988,1000000.0,147.90849135103878,138.45956338872523,157.9452942257469
Guizhou Province,5.051408304678919,888081.5083417805,3896.9190711218407,1000000.0,147.77128884372388,138.39784329857545,157.84766315827625
