Province,Return_period,Factual_CDD,Counterfactual_CDD
Guizhou Province,3.0,37.45930172411054,14.873082565463479
Guizhou Province,5.0,41.727981362614315,16.84709980403335
Guizhou Province,10.0,46.69809092782202,19.181301617084326
Guizhou Province,20.0,51.08450251475303,21.27652682892883
Guizhou Province,50.0,56.25618660092257,23.794056300372887
Guizhou Province,100.0,59.78915019254304,25.546551703789568
Sichuan Province,3.0,102.19195100719651,57.34115505924996
Sichuan Province,5.0,112.96034660866601,64.76625521957602
Sichuan Province,10.0,125.27661126135861,73.62172412964242
Sichuan Province,20.0,135.9362038023765,81.64542484715804
Sichuan Province,50.0,148.2327762264071,91.38804908631519
Sichuan Province,100.0,156.45232390464116,98.24110223321807
Hunan Province,3.0,216.71600661650945,133.50162691040316
Hunan Province,5.0,233.2036766338571,147.0890920618505
Hunan Province,10.0,251.11850351246244,162.74535494307415
Hunan Province,20.0,265.7753280346588,176.4062438373368
Hunan Province,50.0,281.6546862361831,192.3087447818675
Hunan Province,100.0,291.62354766089936,203.0352843882533
Hubei Province,3.0,185.9441212094896,117.57065250512197
Hubei Province,5.0,202.75947578432795,130.3564366405192
Hubei Province,10.0,221.63436695259378,144.79016988284653
Hubei Province,20.0,237.63779329795784,157.10472205641727
Hubei Province,50.0,255.67976597486066,171.0849860945208
Hubei Province,100.0,267.46648788083235,180.282001990416
Chongqing Municipality,3.0,154.36117259825863,81.7671918270177
Chongqing Municipality,5.0,170.95295491411605,92.28346759256077
Chongqing Municipality,10.0,189.88100034519368,104.72129288234802
Chongqing Municipality,20.0,206.21698476916413,115.8884009394192
Chongqing Municipality,50.0,225.00253310465786,129.30989683673533
Chongqing Municipality,100.0,237.52028808141114,138.6553173327178
