distribution,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue,dataset,rank_sse
genextreme,0.3760525873622608,792.6584276099851,805.44862239776,0.08694489649549826,0.0410403288734168,0.3304796220175833,Guizhou Province__factual,8.0
gennorm,0.295029469647779,784.2262812233353,797.0164760111102,0.08456004001307983,0.026355273506580734,0.8494540882311642,Guizhou Province__factual,4.0
johnsonsu,0.26712735346912053,784.5512302392763,801.6048232896428,0.06372088053808386,0.02138078943944466,0.9658820477249914,Guizhou Province__factual,1.0
logistic,0.3030367053150812,788.5868940505393,797.1136905757226,0.10305243869551843,0.02993516276247843,0.7228316955388427,Guizhou Province__factual,6.0
norm,0.3076966272500703,782.9625392290692,791.4893357542525,0.07927177433285235,0.03230160001730242,0.631786300532561,Guizhou Province__factual,7.0
pearson3,0.27944697192115947,783.0125777651467,795.8027725529216,0.06265641689380544,0.024648001394317887,0.8992577394238582,Guizhou Province__factual,3.0
skewnorm,0.27026414125966797,782.4225305939856,795.2127253817605,0.0600843800281031,0.022975757221722626,0.9384265303255753,Guizhou Province__factual,2.0
t,0.30224044174131265,784.8613315899177,797.6515263776926,0.08100067810756906,0.030349708211313442,0.707042678394693,Guizhou Province__factual,5.0
genextreme,0.39317254410752256,788.9450086021925,801.7352033899674,0.12819013757787995,0.027011857375069837,0.8280936398351858,Guizhou Province__counterfactual,2.0
gennorm,0.3580756660782479,788.1309106760543,800.9211054638292,0.12039267027123295,0.0230391056408929,0.9371332900979499,Guizhou Province__counterfactual,1.0
johnsonsu,0.40602219563918884,793.9493353126892,811.0029283630557,0.14217941317163224,0.030569376538864712,0.6986305175882288,Guizhou Province__counterfactual,6.0
logistic,0.521429014420195,809.1076457610166,817.6344422861998,0.19202339082889677,0.03999477094722392,0.36097914768999606,Guizhou Province__counterfactual,8.0
norm,0.405522825555253,789.9530361967752,798.4798327219585,0.14321682461993668,0.030235505664845674,0.7114044827624356,Guizhou Province__counterfactual,4.0
pearson3,0.40618065294593747,791.9479959422004,804.7381907299753,0.14180835261257613,0.030668655990587212,0.6948200844462864,Guizhou Province__counterfactual,7.0
skewnorm,0.4055501543699328,791.9529341981304,804.7431289859053,0.143162405201443,0.03025333681786202,0.7107240105997285,Guizhou Province__counterfactual,5.0
t,0.40552258279220493,791.9530362201333,804.7432310079082,0.14321714883454417,0.03023555454015958,0.711402617876295,Guizhou Province__counterfactual,3.0
genextreme,0.24581124336684812,921.5631671250082,934.3533619127832,0.1290713184938388,0.0320457409530866,0.6416714946731327,Chongqing Municipality__factual,8.0
gennorm,0.2057881755918378,922.5690862917396,935.3592810795145,0.08256348285145959,0.02124176425388566,0.9678135917834058,Chongqing Municipality__factual,1.0
johnsonsu,0.2188048641630641,919.698455665261,936.7520487156276,0.1118224120036877,0.022047249768304467,0.955603086685451,Chongqing Municipality__factual,5.0
logistic,0.22865260920464214,926.726154992527,935.2529515177102,0.12810273851291368,0.028245753499121895,0.7853400068055718,Chongqing Municipality__factual,7.0
norm,0.20859825264935822,921.1635614578638,929.6903579830471,0.07459819836862822,0.020928500098197245,0.9719023321575232,Chongqing Municipality__factual,3.0
pearson3,0.21928801187800226,917.6974829986167,930.4876777863916,0.11093685935886707,0.02263407088277941,0.9451353738950415,Chongqing Municipality__factual,6.0
skewnorm,0.2177870921727652,918.2256773352663,931.0158721230412,0.10975507014787508,0.020306310608785128,0.9789714411351644,Chongqing Municipality__factual,4.0
t,0.20725380501609467,922.2027515562562,934.9929463440311,0.08454699679498004,0.020612216961638508,0.9756672498509211,Chongqing Municipality__factual,2.0
genextreme,0.3546626098853147,906.6193776465179,919.4095724342928,0.1306000756069747,0.030328456281055072,0.7078550018136105,Chongqing Municipality__counterfactual,4.0
gennorm,0.36164756785667607,912.7155143738476,925.5057091616225,0.09992398196944172,0.02826686954892471,0.7845831539371108,Chongqing Municipality__counterfactual,5.0
johnsonsu,0.3516574367943797,909.1234242675489,926.1770173179154,0.12487434230917507,0.028877605367017445,0.7623896876966044,Chongqing Municipality__counterfactual,1.0
logistic,0.40626755933946984,922.4943556272146,931.0211521523979,0.12487870823943699,0.028630625496896767,0.7714321990331535,Chongqing Municipality__counterfactual,8.0
norm,0.36306227783008294,910.904082006519,919.4308785317023,0.10219427182931962,0.02848010696148373,0.7768991783141698,Chongqing Municipality__counterfactual,7.0
pearson3,0.351691650794528,906.8674350798425,919.6576298676174,0.12615326311692507,0.02957030565122898,0.7366126133200204,Chongqing Municipality__counterfactual,2.0
skewnorm,0.3532105115745073,907.7753474193496,920.5655422071245,0.12566581642382335,0.029156521613020847,0.7520790244873414,Chongqing Municipality__counterfactual,3.0
t,0.3630618966675134,912.9040820103532,925.6942767981282,0.10219422135041907,0.028479750808373616,0.776912072880029,Chongqing Municipality__counterfactual,6.0
