province,return_period,factual_return_anomaly,counterfactual_return_anomaly,original_fit_risk_ratio,original_fit_ric
Guizhou Province,3.0,-0.1924930386913866,-0.07348750130786569,1.303466661998382,
Guizhou Province,5.0,-0.39935745635921527,-0.2872282032972974,1.3985673254108277,-28.077415677712924
Guizhou Province,10.0,-0.6269529608303721,-0.5031582590214914,1.6345945890299542,-19.74545293556314
Guizhou Province,20.0,-0.8191793392981349,-0.6729548828265752,2.0440825505391254,-17.850115286946007
Guizhou Province,50.0,-1.0395888570024376,-0.8565202998154846,3.018709744340403,-17.60970752560921
Guizhou Province,100.0,-1.1886630573590378,-0.9751626937044116,4.3244481797807355,-17.961386309841213
Chongqing Municipality,3.0,-0.33207789568137985,-0.26086030599457155,1.1499069022657964,-21.446049439900012
Chongqing Municipality,5.0,-0.5683993599671593,-0.4976597967611435,1.1963721766190165,-12.445398110600076
Chongqing Municipality,10.0,-0.8272225571372857,-0.7479249612932612,1.2902695514207976,-9.586005018823997
Chongqing Municipality,20.0,-1.0450065043428054,-0.9523771200168012,1.424100940191871,-8.864000744594211
Chongqing Municipality,50.0,-1.293947366037377,-1.18044683958956,1.6726885495730488,-8.771649406065444
Chongqing Municipality,100.0,-1.4619136136046988,-1.3314512215186165,1.9270180357314215,-8.924083534894788
Sichuan Province,3.0,-0.2814072843815373,-0.010695393950528348,1.8802072901016358,-96.19931872977841
Sichuan Province,5.0,-0.5140949745328585,-0.2362176194647535,2.3364001509860266,-54.05175479892663
Sichuan Province,10.0,-0.753010311300154,-0.4690880818879742,3.027389677730149,-37.70495903594696
Sichuan Province,20.0,-0.9435000915864925,-0.6556494903742609,3.8080502126409304,-30.508804798122668
Sichuan Province,50.0,-1.1517875859934579,-0.860445141607411,4.992616548662627,-25.294806779390104
Sichuan Province,100.0,-1.2875861529636932,-0.9943713068658635,6.015640576471677,-22.772444812560643
Hubei Province,3.0,-0.21970224840372687,-0.12565915439091513,1.2061573881502723,
Hubei Province,5.0,-0.44984594169260755,-0.35642050158090743,1.2983930376746742,-20.768318984978276
Hubei Province,10.0,-0.6819968169602871,-0.5814982871259249,1.4719109251308369,-14.735923590126419
Hubei Province,20.0,-0.8643125819956617,-0.753158991165797,1.7130707343521172,-12.860346261906283
Hubei Province,50.0,-1.0612034335555323,-0.9341543841805238,2.1660132938977164,-11.972167197889119
Hubei Province,100.0,-1.188355007768882,-1.0489213663808856,2.643878719445958,-11.733332251427196
Hunan Province,3.0,-0.27769054949797634,-0.06579768717525197,1.5544445520586088,-76.30539199328011
Hunan Province,5.0,-0.5335960072310456,-0.306653568663588,1.886323332392735,-42.53076025533155
Hunan Province,10.0,-0.7842185005833823,-0.5519185137440421,2.329360088488858,-29.621844762209967
Hunan Province,20.0,-0.9760502921954853,-0.7460990639030138,2.737131345639531,-23.55936268153039
Hunan Province,50.0,-1.178909391495165,-0.9571994916855329,3.1979276195444464,-18.806356231367875
Hunan Province,100.0,-1.3078283751022008,-1.0942229986278493,3.477876909994488,-16.33282933302768
