province,return_period,original_fit_rr,rr_bootstrap_median,rr_lower_95,rr_upper_95,rr_valid_bootstraps,original_fit_ric,ric_bootstrap_median,ric_lower_95,ric_upper_95,ric_valid_bootstraps
Guizhou Province,3.0,1.303466661998382,1.3083372167603289,1.1218713401253841,1.5786411046742814,1000,,-73.92721728547626,-87.41507783798336,-55.704202356826784,13
Guizhou Province,3.04254656467847,1.3053846783368281,1.3103308125107396,1.1222839523960273,1.5853282405667783,1000,,-70.40558395737915,-82.20466052786946,-54.129863420022126,24
Guizhou Province,3.0856965327455863,1.3073370582312007,1.3129933843809019,1.120758931230155,1.5920403008291426,1000,,-66.70215804780531,-85.01348708598881,-47.54045918658011,40
Guizhou Province,3.129458461781783,1.309324407800422,1.3148356771751168,1.1192341773405963,1.59877761361037,1000,,-64.6977006814005,-82.27282430334809,-45.3970806603768,72
Guizhou Province,3.1738410307327114,1.3113473108829659,1.3164241365595548,1.1177690503925515,1.60554050273644,1000,,-62.367408117190344,-80.20171979794789,-42.65836162937443,113
Guizhou Province,3.2188530416304615,1.3134063306906727,1.318053044372398,1.1168167041503974,1.6112067653728748,1000,,-58.06411510443516,-76.49068001615714,-37.74510155637711,179
Guizhou Province,3.2645034213392017,1.3155020113383644,1.3206371276702085,1.117504464445723,1.6167205445757364,1000,,-56.16989367994961,-75.08629359231638,-36.1274088432636,253
Guizhou Province,3.310801223325567,1.3176348792608357,1.323758016400359,1.1182240722167813,1.6222254148801425,1000,,-53.9241000257063,-73.36238306160375,-34.98575058333899,334
Guizhou Province,3.3577556294541595,1.319805444527481,1.3261819209727506,1.1176976532731757,1.6277215398891187,1000,,-51.87130830964337,-70.97590109391389,-31.596271003872573,408
Guizhou Province,3.405375951808516,1.3220142020637278,1.328294011512501,1.1165600150223032,1.633184502205317,1000,,-50.2795331010053,-69.1366086539608,-30.708791660264836,515
Guizhou Province,3.453671634537891,1.3242616327874333,1.3304240260733506,1.1154554410758717,1.638999562024547,1000,-45.2309011072773,-48.65974647260856,-66.95868404944166,-28.346857089291827,598
Guizhou Province,3.502652255730246,1.3265482046675683,1.3330501958732097,1.1143842555137553,1.6457167486722255,1000,-44.083794581139486,-47.30190206363174,-65.43896269958556,-27.831042915198257,680
Guizhou Province,3.552327529311785,1.3288743737117406,1.3351441244724604,1.1141402748398237,1.652497204262528,1000,-43.00071689545469,-45.62173661613624,-63.827342346117405,-25.803054591040393,760
Guizhou Province,3.6027073069734423,1.331240584888492,1.337815076736137,1.114413575568743,1.6593416848658495,1000,-41.976779960895456,-44.27379214103769,-62.439469675966066,-25.120341655529145,821
Guizhou Province,3.65380158012469,1.3336472729896756,1.34008980254715,1.1144131246515638,1.6662509393925333,1000,-41.007576612431876,-42.82096815548484,-60.80705629831996,-22.51177996810975,879
Guizhou Province,3.7056204818750467,1.3360948634377259,1.3426252574177697,1.113820068326068,1.6720741931471093,1000,-40.08912292241713,-41.47343338398986,-59.48590941846236,-21.487491115963472,920
Guizhou Province,3.7581742890437,1.3385837730422123,1.3452361656854788,1.1143715784201786,1.677807414480145,1000,-39.21780862735672,-40.32771581235731,-58.38581501678054,-20.53600666651498,948
Guizhou Province,3.811473424197621,1.3411144107095903,1.3478114405403376,1.1150574046242592,1.6849493024426712,1000,-38.39035436673436,-39.19417713152387,-57.304572213741565,-19.45212993912685,971
Guizhou Province,3.8655284577185847,1.343687178109775,1.3498497909390603,1.1157814190122488,1.6931314358014065,1000,-37.603774665644266,-38.274011569452455,-56.370385507365874,-18.525212832861772,983
Guizhou Province,3.9203501098995153,1.3463024703027926,1.3534874287452698,1.116543895543805,1.7005159188679333,1000,-36.855345780313854,-37.35801825134451,-55.4516279480938,-17.800389189078317,991
Guizhou Province,3.9759492530705436,1.3489606763285196,1.3560666557282985,1.1173496819029536,1.7070721524472487,1000,-36.14257767675423,-36.46873031192165,-54.53238149714344,-16.569262826371485,994
Guizhou Province,4.032336913755238,1.351662179762185,1.359744623112857,1.118223292812737,1.7164591800283824,1000,-35.46318953535742,-35.802992864897604,-53.62945144796755,-16.05834694132555,996
Guizhou Province,4.089524274857395,1.354407359238194,1.362790711034834,1.1187137507993625,1.7242669297669653,1000,-34.815088274155535,-35.08252770077803,-52.76577220417157,-15.578037583233748,999
