province,scenario,count,mean,standard_deviation,minimum,q05,q25,median,q75,q95,maximum
Chongqing Municipality,Counterfactual,525,-0.011148723635891325,0.5744931697891257,-1.3538529680078506,-0.9434269278947233,-0.4155010028098949,-0.0322553317372726,0.349039154358059,0.9670251337972459,1.7639940066410955
Chongqing Municipality,Factual,525,-0.08772086644458062,0.5801340172440395,-1.6029781427510583,-1.004917318973815,-0.4675852212160805,-0.0996376690512798,0.2749840039099329,0.8242131654631942,2.080829858861122
Guizhou Province,Counterfactual,525,0.16371739132182972,0.511985721037787,-1.4344815069409038,-0.661468841499569,-0.2103699378752546,0.1911886715557723,0.5177901111565322,0.9770336346708393,1.494699701794972
Guizhou Province,Factual,525,0.014836754440472076,0.5085884380792016,-1.3597149695644024,-0.8528054450031237,-0.3182546380775324,0.0337577188276213,0.3534139760021212,0.8173537169150792,1.6117914419192814
Hubei Province,Counterfactual,525,0.14211640873191925,0.5468352500175375,-1.436146576021171,-0.7543099570174515,-0.2576628269310041,0.1665534569022851,0.5317899688169379,1.0025702639718885,1.4632183754758807
Hubei Province,Factual,525,0.03375991998104869,0.551195492752127,-1.57569449701491,-0.8388968302740513,-0.3436946517623611,0.0288478367151879,0.4314022488430218,0.9045545311162035,1.69952710676799
Hunan Province,Counterfactual,525,0.20641591412875643,0.5777304568918081,-1.4415447686916385,-0.8054950518215377,-0.1872003555828607,0.2468544682356848,0.5908695095280071,1.1255210240030267,1.6225299062285288
Hunan Province,Factual,525,0.01635494580271284,0.6079847975952433,-1.553791708031173,-0.9861115651869219,-0.4317533582361703,0.0469654830460586,0.4640840673541019,0.9952080584917993,1.7448891452089834
Sichuan Province,Counterfactual,525,0.23678939664874352,0.5433794124126942,-1.412105198754693,-0.6816137863328339,-0.1401387144673193,0.2594609964491849,0.6189699180730609,1.1174151377559354,1.8147704805528104
Sichuan Province,Factual,525,-0.02112626934717111,0.559605942421157,-1.6754783646866525,-0.9748365353370351,-0.4246907397484968,0.0090850796934346,0.3564654348138001,0.8563389839244031,1.548134154573681
