Province,return_period_est,return_period_2.5%,return_period_97.5%
Anhui Province,40.1029239491583,13.6086111968931,275.543564559339
Beijing Municipality,2.73045208972893,1.8600297761603,4.79348852267184
Chongqing Municipality,118.671045034249,25.563590510378,3424.60194593212
Fujian Province,6.8563432430965,3.65819539496218,18.3118491834628
Gansu Province,2.8613826620064,1.85861438727842,6.00307909407999
Guangxi Zhuang Autonomous Region,2.76165123378478,1.78315200028209,4.98810846867477
Guangzhou Province,1.43532313653519,1.13506662766741,1.99621959203829
Guizhou Province,47.2556395377551,14.0847465953396,521.768944243934
Hainan Province,1.60130673848595,1.21199780429206,2.53238510234728
Hebei Province,3.71541808349546,2.26928136230246,8.46841685879046
Heilongjiang Province,1.45072194939447,1.216896744188,1.82868134388719
Henan Province,45.8105778760066,15.0021625406926,461.040538805084
Hong Kong Special Administrative Region,1.33759017050061,1.09487705684067,1.81340573819689
Hubei Province,49.753819638167,15.3896123562354,434.51244228597
Hunan Province,44.4543765439497,13.6579461630672,361.771377526747
Inner Mongolia Autonomous Region,1.72976229224206,1.35550106828406,2.4562336179147
Jiangsu Province,22.8301699431032,9.61283710732631,123.292694715066
Jiangxi Province,22.26355223431,9.6888434274026,102.191539324919
Jilin Province,1.67222007049409,1.3679908389207,2.18574699051436
Ningxia Ningxia Hui Autonomous Region,2.21110690428913,1.68341281454617,3.12294308535982
Shaanxi Province,23.5304897777036,8.45572744647616,162.601339602212
Shandong Province,9.75305755957037,4.97354492097773,37.7450260293254
Shanghai Municipality,12.9132139166097,6.12378415220891,47.5607728901815
Shanxi Province,11.5036206092365,5.28987336970245,43.7978170735289
Sichuan Province,152.531730456234,26.0661848271652,5642.92226222524
Tianjin Municipality,2.5935642888773,1.8300537796279,4.39889325368621
Tibet Autonomous Region,5.93772660208094,3.08767739695653,18.2609526243791
Xinjiang Uyghur Autonomous Region,13.4312175965731,6.32742464836809,57.4038103591204
Yunnan Province,590.233682885007,60.9375540352868,176598.62993505
Zhejiang Province,24.2606470370473,10.0175645981881,121.066431782858
