"","est","2.5%","97.5%"
"mu0",-1.43630255875428,-1.76923657293951,-1.15777791665135
"sigma0",0.87093153896979,0.705984158663481,1.00935594298039
"alpha_GMST",2.20388258332555,1.60523169905657,2.790787366021
"disp",1.20837220924566,0.738736726235652,3.12431466742258
"event_magnitude",2.87932310384668,2.87932310384668,2.87932310384668
"return_period",2.8613826620064,1.85861438727842,6.00307909407999
"PR",1129.83733629298,170.407155414713,36806.6783240712
"dI_abs",2.67480604034088,2.45983608612498,2.77819717302228
"dI_rel",1307.86448548095,586.39161336638,2747.27005088832
"aic",86.5826248925393,47.6954763991386,120.914230347639
"n",62,1000,0
