"","est","2.5%","97.5%"
"mu0",1.31380417934925,1.01314358852269,1.5737903168546
"sigma0",0.721142183916928,0.587949357664313,0.823641654971668
"alpha_GMST",0.885464473928155,0.332399773554154,1.50174786655003
"disp",0.330730499127836,0.256695484471095,0.411373824400473
"event_magnitude",38.2678204090622,38.2678204090622,38.2678204090622
"return_period",47.2556395377551,14.0847465953396,521.768944243934
"PR",92.2618745753145,6.05272692375696,4803.66507035459
"dI_abs",25.0435742341698,12.5873117644752,31.9554457705166
"dI_rel",189.376195081104,49.0158324730735,506.23497356771
"aic",344.44797296276,310.503266097159,367.334374197815
"n",62,1000,0
