"","est","2.5%","97.5%"
"mu0",4.89746903082565,4.84062918170157,4.96224706988479
"sigma0",0.142511275703111,0.1107699472559,0.170276566408534
"alpha_GMST",0.551952334395547,0.419742429416995,0.674626532813002
"disp",0.0262080427407235,0.0202527861356675,0.031515928964311
"event_magnitude",219.746447798854,219.746447798854,219.746447798854
"return_period",1.60130673848595,1.21199780429206,2.53238510234728
"PR",83898.7039939403,1166.39034381764,944211180.258019
"dI_abs",106.435978124573,86.9545190869288,121.946647757034
"dI_rel",93.9330482262843,65.4817806939158,124.69007888888
"aic",572.648519012015,541.231027833291,595.24963286405
"n",62,1000,0
