"","est","2.5%","97.5%"
"mu0",-2.350576703025,-3.43603750880002,-1.44299649252842
"sigma0",2.32564993738611,1.70812294431392,2.94862122255101
"alpha_GMST",4.271392338574,3.00736330002349,5.91942692065979
"disp",1.27081295010639,0.77601601167122,2.40714753578816
"event_magnitude",8.24004704347826,8.24004704347826,8.24004704347826
"return_period",2.21110690428913,1.68341281454617,3.12294308535982
"PR",44.93481022994,13.7976092739732,613.788502417971
"dI_abs",8.19108278927878,8.01679900609942,8.23326946893481
"dI_rel",16728.6991769731,3593.62944459141,121519.494828809
"aic",188.698508594953,114.930826278421,241.901524337744
"n",62,500,0
