"","est","2.5%","97.5%"
"mu0",3.864878473578,3.69436347565607,4.02100950842641
"sigma0",0.400835660475978,0.320904053553806,0.46047853614228
"alpha_GMST",0.511142428009399,0.200880340220399,0.815238280680228
"disp",0.0918261269073603,0.0724189237779442,0.107218385279256
"event_magnitude",130.728208808408,130.728208808408,130.728208808408
"return_period",9.75305755957037,4.97354492097773,37.7450260293254
"PR",39.816691616219,4.33023481339365,1489.94773893201
"dI_abs",59.9359601549175,28.0023337895529,81.5802075647094
"dI_rel",84.6645802258497,27.2592837170862,165.989763666658
"aic",570.994018723227,543.02019134533,589.942360210476
"n",62,1000,0
