"","est","2.5%","97.5%"
"mu0",4.57436673788575,4.45351395447656,4.68517549013555
"sigma0",0.327288872179627,0.257701602453895,0.388431523098317
"alpha_GMST",0.497711841913032,0.243697432840461,0.742943453681271
"disp",0.0646623978069377,0.050276897352276,0.0773828863238379
"event_magnitude",278.636687966319,278.636687966319,278.636687966319
"return_period",24.2606470370473,10.0175645981881,121.066431782858
"PR",223.621187667163,11.1822781588065,38597.017801294
"dI_abs",125.297170812529,70.6504692223587,164.388069749547
"dI_rel",81.7122507871623,33.9688227333951,143.886431366659
"aic",633.224080072518,601.940018332899,654.400814593773
"n",62,1000,0
